author,title,
Fyodor Dostoevsky,The Brothers Karamazov,
Fyodor Dostoevsky,Uncle's Dream,
Fyodor Dostoevsky,The Best Short Stories of Fyodor Dostoevsky,
Fyodor Dostoevsky,The Village of Stepanchikovo,
Fyodor Dostoevsky,Netochka Nezvanova,
Fyodor Dostoevsky,The Double and the Gambler,
Fyodor Dostoevsky,Collected Works of Fyodor Dostoyevsky,
Fyodor Dostoevsky,Notes from Underground and the Double,
Fyodor Dostoevsky,Great Short Works of Fyodor Dostoevsky,
Fyodor Dostoevsky,Winter Notes on Summer Impressions,
Fyodor Dostoevsky,Poor Folk and Other Stories,
Fyodor Dostoevsky,Fiódor Dostoievski: Crimen y castigo / Los hermanos Karamazov,
Fyodor Dostoevsky,A Weak Heart,
Fyodor Dostoevsky,Polzunkov,
Sukanya Venkatraghavan,Dark Things,
Malorie Blackman,Pig-Heart Boy,
Malorie Blackman,Knife Edge,
Malorie Blackman,Double Cross,
Malorie Blackman,Black & White,
Malorie Blackman,Checkmate,
Malorie Blackman,Boys Don't Cry,
Malorie Blackman,Noughts & Crosses,
Malorie Blackman,Chasing the Stars,
Malorie Blackman,Thief!,
Malorie Blackman,Cloud Busting,
Malorie Blackman,Noble Conflict,
Malorie Blackman,Nought Forever: World Book Day 2019,
Malorie Blackman,Hacker,
Malorie Blackman,The Stuff of Nightmares,
Malorie Blackman,A.N.T.I.D.O.T.E.,
Malorie Blackman,Endgame,
Malorie Blackman,The Monster Crisp-Guzzler,
Malorie Blackman,Operation Gadgetman!,
Malorie Blackman,Contact,
Malorie Blackman,An Eye for an Eye,
Malorie Blackman,Unheard Voices,
Malorie Blackman,Tell Me No Lies,
Malorie Blackman,Jon for Short,
Malorie Blackman,Robot Girl,
Malorie Blackman,"Ellie, and the Cat!",
Malorie Blackman,The Deadly Dare Mysteries,
Malorie Blackman,Dangerous Reality,
Malorie Blackman,Betsey Biggalow Is Here!,
Malorie Blackman,Trust Me,
Malorie Blackman,Hostage,
Malorie Blackman,Snow Dog,
Malorie Blackman,A Dangerous Game,
Malorie Blackman,Dead Gorgeous,
Malorie Blackman,Betsey's Birthday Surprise,
Robert H. Bishop,Mechatronics: An Introduction,
Robert H. Bishop,Learning With Labview,
Robert H. Bishop,"Mechatronic System Control, Logic, and Data Acquisition (The Mechatronics Handbook, Second Edition)",
Robert H. Bishop,"Mechatronic Systems, Sensors, and Actuators: Fundamentals and Modeling (The Mechatronics Handbook, Second Edition)",
Robert H. Bishop,The Mechatronics Handbook - 2 Volume Set (Mechatronics Handbook 2e),
Robert H. Bishop,Modern Control Systems,
Robert H. Bishop,Aerospace Engineering Handbook (Electrical Engineering Handbook),
Robert H. Bishop,Learning With Labview Pearson Etext Access Card,
Robert H. Bishop,Modern Control Systems Analysis and Design Using MATLAB and SIMULINK,
Robert H. Bishop,Learning with LabVIEW 7 Express,
Robert H. Bishop,LabVIEW 7 Express Student Edition,
Robert H. Bishop,Learning with LabVIEW,
Robert H. Bishop,Learning with LabVIEW 2009,
Alan V. Oppenheim,Discrete-Time Signal Processing: Pearson New International Edition PDF eBook,
Alan V. Oppenheim,"Signals, Systems and Inference, eBook, Global Edition",
Alan V. Oppenheim,Signals and systems,
Alan V. Oppenheim,Multi Pack: Signals and Systems (International Edition) with Computer Explorations in Signals and Systems Using MATLAB,
Alan V. Oppenheim,"Signals And Systems, 2Nd Edn",
Alan V. Oppenheim,Advanced Topics in Signal Processing,
Alan V. Oppenheim,Discrete-Time Signal Processing,
Alan V. Oppenheim,Papers on Digital Signal Processing (The MIT Press),
Alan V. Oppenheim,Digital Signal Processing,
Alan V. Oppenheim,Computer Based Exer Signal Pro Matlab: Matlab Curriculum,
Alan V. Oppenheim,Applications of Digital Signal Processing (Prentice-Hall signal processing series),
Alan V. Oppenheim,Signals. Systems and Reasoning,
Alan V. Oppenheim,Computer-Based Exercises for Signal Processing Using MATLAB Ver.5,
Alan V. Oppenheim,Adaptive Array Processing in Uncertain Inhomogeneous Media 1992-1993,
Ronald W. Schafer,Discrete-Time Signal Processing: International Edition,
Ronald W. Schafer,Discrete-Time Signal Processing (Prentice-hall Signal Processing Series),
Ronald W. Schafer,Digital Signal Processing,
Ronald W. Schafer,An Introduction to Digital Speech Processing (Foundations and Trends(r) in Signal Processing),
Ronald W. Schafer,"Mathematical Morphology and Its Applications to Image and Signal Processing (Computational Imaging and Vision, 5)",
Ronald W. Schafer,"Multidimensional Digital Signal Processing, Devices for Information Processing, and Electromagnetic Analysis and Measurement",
Ronald W. Schafer,Multidimensional Digital Signal Processing Optical Devices for Information Processing and Electromagnetic Analysis and Measurement,
Ronald W. Schafer,"Two-Dimensional Signal Processing, Optical Information Storage and Processing, and Electromagnetic Measurements",
Ronald W. Schafer,Speech Analysis (IEEE Press selected reprint series),
Ronald W. Schafer,ECHO REMOVAL BY DISCRETE GENERALIZED LINEAR FILTERING,
Ronald W. Schafer,Routledge Studies in US Foreign Policy (50 Book Series),
Ronald W. Schafer,DSP First,
Ronald W. Schafer,Discrete-Time Signal Processing (Prentice-Hall Signal Processing Series),
Ronald W. Schafer,Digital Voice Processing Theory and Applications (English),
Constantine A. Balani,Antenna Theory: Analysis and Design,
Constantine A. Balani,Advanced Engineering Electromagnetics,
Constantine A. Balani,Introduction to Smart Antennas (Synthesis Lectures on Antennas),
Constantine A. Balani,Reconfigurable Antennas (Synthesis Lectures on Antennas and Propagation),
Constantine A. Balani,Synthesis Series in Computational Electromagnetics Volume 1,
Constantine A. Balani,Support Vector Machines for Antenna Array Processing and Electromagnetics (Lectures on Computational Electromagnetics),
Constantine A. Balani,Higher-order FDTD Schemes for Waveguides and Antenna Structures (Synthesis Lectures on Computational Electromagnetics),
Constantine A. Balani,Tunable Materials with Applications in Antennas and Microwaves (Synthesis Lectures on Antennas),
Bibhutibhushan Bandopadhyay,Pather Panchali,
Bibhutibhushan Bandopadhyay,Aranyak,
Bibhutibhushan Bandopadhyay,Chander Pahar,
Bibhutibhushan Bandopadhyay,Aam Antir Bhenpu,
Bibhutibhushan Bandopadhyay,Taranath Tantrik,
Bibhutibhushan Bandopadhyay,Adarsha Hindu Hotel,
Bibhutibhushan Bandopadhyay,Debjan,
Bibhutibhushan Bandopadhyay,Mismider Kabach,
Bibhutibhushan Bandopadhyay,Aparajito,
Bibhutibhushan Bandopadhyay,Hire Manik Jale,
Bibhutibhushan Bandopadhyay,Malancha,
Bibhutibhushan Bandopadhyay,Padak,
Bibhutibhushan Bandopadhyay,Meghamala,
Bibhutibhushan Bandopadhyay,Marytirtha Hinglaj,
Bibhutibhushan Bandopadhyay,Ichamati,
Bibhutibhushan Bandopadhyay,Bipiner Sangsar,
Bibhutibhushan Bandopadhyay,Drishti Pradeep,
Bibhutibhushan Bandopadhyay,Anubartan,
Bibhutibhushan Bandopadhyay,Kedar Raja,
Bibhutibhushan Bandopadhyay,Nabagato,
Sharat Chandra Chattopadhyay,Aalo O Chhaya,
Sharat Chandra Chattopadhyay,Abhagir Swargo,
Sharat Chandra Chattopadhyay,Path Nirdesh,
Sharat Chandra Chattopadhyay,Anupamar Prem,
Sharat Chandra Chattopadhyay,Anuradha,
Sharat Chandra Chattopadhyay,Swami,
Sharat Chandra Chattopadhyay,Andhare Aalo,
Sharat Chandra Chattopadhyay,Balya Smriti,
Sharat Chandra Chattopadhyay,Mahesh,
Sharat Chandra Chattopadhyay,Lalu,
Sharat Chandra Chattopadhyay,Darpochurna,
Sharat Chandra Chattopadhyay,Paresh,
Sharat Chandra Chattopadhyay,Ramer Shumoti,
Sharat Chandra Chattopadhyay,Chobi,
Sharat Chandra Chattopadhyay,Mejdidi,
Sharat Chandra Chattopadhyay,Kashinath,
Sharat Chandra Chattopadhyay,Mamlar Fol,
Sharat Chandra Chattopadhyay,Mandir,
Sharat Chandra Chattopadhyay,Rama,
Sharat Chandra Chattopadhyay,Bijoya,
Shirshendu Mukhopadhyay,Ghunpoka,
Shirshendu Mukhopadhyay,Parthibo,
Shirshendu Mukhopadhyay,Maanabjamin,
Shirshendu Mukhopadhyay,Parapar,
Shirshendu Mukhopadhyay,Nayan Shyama,
Shirshendu Mukhopadhyay,Bangaler America Darshan,
Shirshendu Mukhopadhyay,Ekadashi O Bhut,
Shirshendu Mukhopadhyay,Charadik,
Shirshendu Mukhopadhyay,Akranta,
Shirshendu Mukhopadhyay,Pherighaat,
Shirshendu Mukhopadhyay,Madhur Janya,
Shirshendu Mukhopadhyay,Ashukher Pare,
Shirshendu Mukhopadhyay,Aadam Eve O Andhakar,
Shirshendu Mukhopadhyay,Ujan,
Shirshendu Mukhopadhyay,Kagajer Bou,
Shirshendu Mukhopadhyay,Kapurushh,
Shirshendu Mukhopadhyay,Gaynar Bakso,
Shirshendu Mukhopadhyay,Gati,
Shirshendu Mukhopadhyay,Churi,
Shirshendu Mukhopadhyay,Chokh,
Tarashankar Bandopadhyay,Chaitali Ghurni,
Tarashankar Bandopadhyay,Pashanpuri,
Tarashankar Bandopadhyay,Nilkantha,
Tarashankar Bandopadhyay,Raikamal,
Tarashankar Bandopadhyay,Prem O Prayojon,
Tarashankar Bandopadhyay,Aagun,
Tarashankar Bandopadhyay,Dhatridebata,
Constantine A. Balani,"Frequency and Transient Characteristics of MMIC Transmission Lines, Circuits and Antennas",
Constantine A. Balani,Modern Antenna Handbook,
Constantine A. Balani,Aircraft antenna analysis and microwave landing system (MLS) applications,
Robert. C. Martin,Clean Architecture: A Craftsman's Guide to Software Structure and Design,
Robert. C. Martin,The Clean Coder,
Robert. C. Martin,Clean Code,
Robert. C. Martin,Clean Agile: Back to Basics (Robert C. Martin Series),
Robert. C. Martin,"The Software Craftsman: Professionalism, Pragmatism, Pride",
Robert. C. Martin,"More C++ Gems: 17 (SIGS Reference Library, Series Number 17)",
Robert. C. Martin,Designing Object Oriented C++ Applications Using The Booch Method,
Robert. C. Martin,"Value Pack: Software Engineering with Agile Software Development, Principles, Patterns and Practices",
Robert. C. Martin,The Perfect Host,
Robert. C. Martin,Coincidence,
Robert. C. Martin,"Agile Principles, Patterns, and Practices in C#",
Robert. C. Martin,Reminiscing!,
Gregor Hohpe,The Software Architect Elevator: Redefining the Architect's Role in the Digital Enterprise (Greyscale Indian Edition),
Gregor Hohpe,"Enterprise Integration Patterns: Designing, Building and Deploying Messaging Solutions (Addison Wesley Signature Series) (Addison Wesley Signature Series (Old Edition))",
Gregor Hohpe,37 Things One Architect Knows About IT Transformation: A Chief Architect's Journey,
Gregor Hohpe,Cloud Strategy: A Decision-Based Approach to Successful Cloud Migration,
Gregor Hohpe,"Enterprise Integration Patterns, Vol 2: Conversation Patterns",
Tarashankar Bandopadhyay,Dhatridebata,
Tarashankar Bandopadhyay,Kalindi,
Tarashankar Bandopadhyay,Ganadebata,
Tarashankar Bandopadhyay,Panchagram,
Tarashankar Bandopadhyay,Manvantar,
Tarashankar Bandopadhyay,Kavi,
Tarashankar Bandopadhyay,Bingsho Shatabdi,
Tarashankar Bandopadhyay,Sandipan Pathshala,
Tarashankar Bandopadhyay,Jhar O Jharapata,
Tarashankar Bandopadhyay,Abhijan,
Tarashankar Bandopadhyay,Chhotoder Sandipan Pathshala,
Tarashankar Bandopadhyay,Padachihna,
Tarashankar Bandopadhyay,Uttarayan,
Tarashankar Bandopadhyay,Hansuli Banker Upakatha,
Michel Madhusudan Dutta,Meghnad Badh Kavya,
Michel Madhusudan Dutta,King Porus,King Porus
Michel Madhusudan Dutta,The Captive Ladie,
Michel Madhusudan Dutta,Ratul Potra,
Michel Madhusudan Dutta,Sharmista,
Michel Madhusudan Dutta,Padmavati,
Michel Madhusudan Dutta,Ekei Ki Boley Sabyota,
Michel Madhusudan Dutta,Krishna Kumari,
Michel Madhusudan Dutta,Buro Shaliker Ghare Ron,
Michel Madhusudan Dutta,Tilottama Sambhava Kavya,
Michel Madhusudan Dutta,Brajagana Kavya,
Michel Madhusudan Dutta,Veerangana Kavya,
Michel Madhusudan Dutta,Ratnavali,
Michel Madhusudan Dutta,Nil Darpan,
Michel Madhusudan Dutta,Choturdoshpodi Kobitaboli,
Michel Madhusudan Dutta,"Rizia, the Sultana",
Michel Madhusudan Dutta,Rosalo Sornolatika,
Michel Madhusudan Dutta,Bongobani,
Michel Madhusudan Dutta,Bongo bhumir prati,
Ishwar Chandra Bandopadhyay,Barnaparichay,
